Trial Number,Vis Type,Participate Percent,Standard Percent,Basic Error
36,Pie Chart,75,27,0.48
38,Tree Chart,44,89,0.45
4,Tree Chart,60,92,0.32
12,Tree Chart,54,84,0.3
57,Tree Chart,75,47,0.28
32,Tree Chart,30,57,0.27
49,Bar Chart,20,47,0.27
37,Tree Chart,25,50,0.25
49,Tree Chart,95,72,0.23
52,Pie Chart,80,57,0.23
58,Tree Chart,75,52,0.23
44,Pie Chart,88,66,0.22
23,Tree Chart,80,58,0.22
53,Tree Chart,30,52,0.22
2,Pie Chart,99,78,0.21
18,Tree Chart,99,78,0.21
39,Tree Chart,90,69,0.21
33,Tree Chart,40,61,0.21
15,Tree Chart,20,41,0.21
23,Pie Chart,70,90,0.2
53,Tree Chart,99,79,0.2
58,Pie Chart,50,70,0.2
12,Pie Chart,90,70,0.2
9,Pie Chart,80,60,0.2
32,Pie Chart,99,80,0.19
54,Pie Chart,90,71,0.19
51,Tree Chart,40,59,0.19
27,Tree Chart,35,54,0.19
7,Tree Chart,27,46,0.19
37,Tree Chart,20,39,0.19
26,Tree Chart,55,73,0.18
43,Pie Chart,85,67,0.18
43,Tree Chart,85,67,0.18
43,Pie Chart,60,42,0.18
5,Tree Chart,10,28,0.18
34,Pie Chart,99,82,0.17
57,Pie Chart,99,82,0.17
1,Pie Chart,33,50,0.17
32,Tree Chart,70,86,0.16
13,Tree Chart,90,74,0.16
53,Pie Chart,88,72,0.16
8,Tree Chart,30,46,0.16
12,Tree Chart,90,75,0.15
10,Pie Chart,60,75,0.15
11,Tree Chart,50,65,0.15
17,Bar Chart,68,53,0.15
21,Pie Chart,67,52,0.15
38,Pie Chart,87,73,0.14
30,Pie Chart,80,66,0.14
53,Pie Chart,80,66,0.14
36,Tree Chart,50,64,0.14
60,Tree Chart,70,56,0.14
2,Tree Chart,40,54,0.14
37,Tree Chart,38,52,0.14
13,Tree Chart,30,44,0.14
34,Pie Chart,30,44,0.14
11,Pie Chart,50,36,0.14
26,Tree Chart,90,77,0.13
51,Pie Chart,60,73,0.13
5,Pie Chart,50,63,0.13
16,Pie Chart,50,63,0.13
30,Tree Chart,75,62,0.13
50,Pie Chart,67,54,0.13
46,Tree Chart,25,38,0.13
57,Pie Chart,20,7,0.13
24,Pie Chart,92,80,0.12
46,Tree Chart,80,68,0.12
15,Tree Chart,80,68,0.12
